X,Y
-81.20400145,42.81265274
-80.42356974,43.09576259
-79.38864927,43.12578079
-79.44890418,43.13804135
-79.80930965,43.22879752
-79.84524799,43.23959747
-79.71040466,43.23279792
-79.91798983,43.25219643
-79.86893771,43.24977848
-79.8795419,43.26831281
-79.9105718,43.33287736
-79.82460889,43.32862403
-79.80005049,43.32739573
-80.31523818,43.36093909
-79.81148815,43.33697487
-79.82124958,43.36448217
-79.74753016,43.36077728
-79.83269858,43.37405949
-79.77125377,43.37098243
-80.39755201,43.40963386
-79.72038932,43.38642287
-79.70723915,43.39476125
-79.76785728,43.40684107
-80.48074559,43.44929592
-79.70551996,43.41268991
-79.72925809,43.42290543
-79.71695888,43.42228065
-79.6923613,43.42102673
-79.77760933,43.43435528
-79.70379967,43.43061902
-79.69149903,43.42999123
-79.67919867,43.42936198
-79.73984864,43.44145874
-79.72754518,43.4408352
-79.715242,43.4402102
-79.69063648,43.43895584
-79.67833413,43.43832648
-79.70207825,43.44854857
-79.67746931,43.44729109
-79.66516526,43.44666016
-79.72583116,43.4587654
-79.67660421,43.4562558
-79.65199242,43.45499228
-79.97121418,43.47993169
-79.74959284,43.46897696
-79.71266458,43.46710534
-79.67573883,43.46522063
-79.99503022,43.4900875
-79.98271311,43.48949408
-79.93344733,43.48710585
-79.66256316,43.47355431
-80.22832851,43.51005552
-79.69863207,43.48440898
-79.62476093,43.48061642
-79.66082702,43.49148429
-79.64851331,43.49085135
-79.93097407,43.5140081
-79.88168867,43.51159531
-79.64764283,43.49981639
-79.67140771,43.5100464
-79.63445466,43.50814693
-80.11424185,43.54078698
-79.92932389,43.53194348
-79.86769788,43.52892279
-79.84304937,43.52770431
-79.68286089,43.51964223
-79.64590101,43.5177468
-79.6212625,43.5164759
-79.68199553,43.52860792
-79.64502968,43.52671216
-79.66880566,43.53694315
-79.61951159,43.53440629
-79.60718878,43.53376843
-79.8528603,43.55521625
-79.71724431,43.54842295
-79.68026397,43.54653963
-79.65561181,43.54527681
-79.59398638,43.54209425
-79.72871343,43.55801426
-79.70405504,43.55676287
-79.67939777,43.55550565
-79.65474162,43.5542426
-79.64241398,43.55360889
-79.61775953,43.5523371
-79.60543274,43.55169902
-79.59310623,43.55105949
-79.83884939,43.57254093
-79.69086177,43.56510123
-79.61688308,43.56130267
-79.59222579,43.56002483
-79.57989757,43.55938373
-79.76399779,43.57781431
-79.689997,43.57406757
-79.66533231,43.57280699
-79.62833741,43.57090519
-79.60367555,43.56963004
-79.56668492,43.56770639
-79.77548115,43.58740088
-79.76314472,43.58678142
-79.73847268,43.58553811
-79.70146671,43.58366223
-79.63979572,43.58050659
-79.61512931,43.57923413
-79.57813184,43.57731451
-79.71294041,43.59325575
-79.66359394,43.59073955
