CELL_ID,IntakeID,Year,Class,ClassOrder,Infection,InfectionType,x,y,PC_Urban,4_zones,PC_Natural,pdSTD,orderLCBD,InfectionLCBD,H-PLCBD,HHLCBD
181069,20070539,2007,Mammalian,Small Carnivores,Fleas,Ectoparasitic,-78.86651899,43.90405019,-0.056911693,2,-0.202309526,751.1367345,0.2055248,0.5218897,0.231619,0.18665939
181070,20074932,2007,Mammalian,Bats,Mites,Ecoparasitic,-78.85845626,43.91046666,0.147423587,2,0.175695054,660.2299605,0.2055248,0.5218897,0.231619,0.18665939
181071,20103099,2010,Avian,Seabirds and Shorebirds,AMPV-1,Viral,-78.84712376,43.90933465,0.112608771,1,0.159984998,243.3139279,0.3104016,0.03102561,0.3304349,0.34363551
181751,20071707,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-78.86914278,43.91952937,0.173518435,1,0.028152648,300.6604516,0.3104016,0.03102561,0.3304349,0.34363551
181754,20074157,2007,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-78.83873294,43.91500015,-0.186503762,1,-0.374458637,410.8127671,0.3104016,0.03102561,0.3304349,0.34363551
181765,20093727,2009,Avian,Songbirds,West Nile Virus,Viral,-78.70196443,43.9111938,-0.064878352,2,-0.133105394,507.2912905,0.2055248,0.5218897,0.231619,0.18665939
182383,20083665,2008,Mammalian,Small Rodents and Moles,Fleas,Ectoparasitic,-79.48554179,43.95749126,-0.596152333,1,-0.20494199,147.5336466,0.3104016,0.03102561,0.3304349,0.34363551
182385,20072917,2007,Mammalian,Small Carnivores,Fleas,Ectoparasitic,-79.45887043,43.96298726,-0.117348283,1,0.301482316,225.813331,0.3104016,0.03102561,0.3304349,0.34363551
182413,20075433,2007,Avian,Pigeons and Doves,AMPV-1,Viral,-79.11405758,43.93847609,-0.925526511,1,-0.173293218,0.733319083,0.3104016,0.03102561,0.3304349,0.34363551
182448,20075453,2007,Avian,Owls,Lice,Ectoparasitic,-78.68960764,43.91304881,0.135398528,1,0.017796925,444.3290209,0.3104016,0.03102561,0.3304349,0.34363551
183138,20075721,2007,Avian,Waterfowl and Waders,Lice,Ectoparasitic,-78.5888087,43.91749406,-0.046242067,2,-0.544955985,563.2647562,0.2055248,0.5218897,0.231619,0.18665939
183747,20080104,2008,Avian,Songbirds,Coccidia,Protozoan,-79.4899262,43.97565428,-0.228506693,1,0.301482316,288.8561417,0.3104016,0.03102561,0.3304349,0.34363551
183764,20113337,2011,Avian,Songbirds,West Nile Virus,Viral,-79.28091148,43.96384588,-0.412676826,1,0.301482316,143.235587,0.3104016,0.03102561,0.3304349,0.34363551
183788,20080253,2008,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-78.98265083,43.9483702,-0.539147935,1,0.301482316,287.1199767,0.3104016,0.03102561,0.3304349,0.34363551
184413,20072251,2007,Mammalian,Small Carnivores,Baylisascaris (definitive),Nematode,-79.68314247,44.00087404,-0.427051057,1,0.172509437,160.8874279,0.3104016,0.03102561,0.3304349,0.34363551
184431,20080050,2008,Mammalian,Bats,Rabies,Viral,-79.46376925,43.98377397,-0.024360457,2,-0.055625451,529.6696075,0.2055248,0.5218897,0.231619,0.18665939
184452,20084440,2008,Mammalian,Small Rodents and Moles,Squirrel Pox,Viral,-79.19684537,43.97590718,-0.794987632,1,0.301482316,1.628920475,0.3104016,0.03102561,0.3304349,0.34363551
184471,20120164,2012,Mammalian,Small Carnivores,Canine Distemper Virus,Viral,-78.9607421,43.95706592,-0.208170804,1,0.301482316,372.2360675,0.3104016,0.03102561,0.3304349,0.34363551
184478,20103070,2010,Avian,Seabirds and Shorebirds,AMPV-1,Viral,-78.8766992,43.952273,-0.304062728,1,0.159984998,399.2825498,0.3104016,0.03102561,0.3304349,0.34363551
185767,20104322,2010,Avian,Pigeons and Doves,AMPV-1,Viral,-79.80559184,44.02248522,-0.228167494,2,-0.27937672,555.828189,0.2055248,0.5218897,0.231619,0.18665939
185796,20073571,2007,Mammalian,Bats,Mites,Ecoparasitic,-79.45038919,44.00648757,-0.30514383,1,-0.278741746,243.191645,0.3104016,0.03102561,0.3304349,0.34363551
186449,20082627,2008,Avian,Pigeons and Doves,Trichonomiasis,Protozoan,-79.80955581,44.03435467,-0.17143083,2,-0.433859776,606.1502287,0.2055248,0.5218897,0.231619,0.18665939
